audio_sample_id,timestamp,caller_id,receiver_id,language,is_scam,scam_type,scam_stage,requested_action,sensitive_info_requested,severity,audio_transcript_text,has_url,has_upi,has_otp,has_qr,has_phone,has_threat,has_urgency
AUD0055,2025-06-16 03:37:40,+91-68432-33855,SENIOR_USER,Hinglish,1,Telecom/Utility / KYC Scam,Escalation/Threat,Click link,,4,[Voicemail] TNEB bill overdue. Pay ₹200000 at https://rebrand.ly/uwfg9Ui to avoid disconnection. Jaldi.,1,0,0,0,0,0,0
AUD0048,2025-12-17 05:30:40,+91-98385-45068,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,[Automated Voice] Blue Dart: Parcel held at customs. Pay clearance fee ₹49 at https://cutt.ly/eIxh7yR.,1,0,0,0,0,0,0
AUD0009,2025-07-28 05:21:30,+91-70917-09836,SENIOR_USER,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,[Automated Voice] Congratulations! Prize ₹999 in New Year Bonanza. Pay processing ₹999 to UPI wqfmth@ibl.,0,1,0,0,0,0,0
AUD0079,2025-09-22 18:54:47,+91-76999-35717,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,[Voicemail] Buyer payment pending. Share OTP to receive ₹200000.,0,0,1,0,0,0,0
AUD0090,2025-06-30 23:54:57,+91-63624-75842,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,[Voicemail] Airtel plan expires on 21-Nov. Renew in official app or https://axisbank.com/ghr5suvdr2.,1,0,0,0,0,0,0
AUD0017,2025-11-18 08:17:01,+91-60395-91905,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,[Automated Voice] Paytm support. Malware detected. Install AnyDesk from https://support-helpdesk.in/g98kxmu31r now.,1,0,0,0,0,0,1
AUD0100,2025-04-01 16:11:13,+91-64754-38166,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,sir [Voicemail] Vi plan expires on 23-Mar. Renew in official app um ji or https://hdfcbank.com/5drmal7a11.,1,0,0,0,0,0,0
AUD0022,2025-11-11 03:36:15,+91-78537-13173,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,[Automated Voice] Paytm support. Malware detected. Install Remote Assist from https://track-parcel.in/tijo5p4cr8 now.,1,0,0,0,0,0,1
AUD0053,2025-05-06 13:15:54,+91-91143-76125,SENIOR_USER,Hinglish,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,[Automated Voice] Your BSNL SIM will be deactivated today. Update KYC at https://bank-kycverify.com/xdgve463ox.,1,0,0,0,0,0,1
AUD0078,2025-06-16 14:33:50,+91-78196-76622,SENIOR_USER,Hinglish,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,[Automated Voice] Refund um of ₹200000 pending. Confirm your bank details at uh https://cybercrime-case.in/bjuzetwfqe. uh,1,0,0,0,0,0,0
AUD0044,2025-03-19 06:33:42,+91-70229-54036,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,[Voicemail] Address verification failed. Reschedule at https://gpay-help.in/3ngxcpdvna.,1,0,0,0,0,0,0
AUD0007,2025-07-05 06:44:29,+91-77601-29197,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Click link,PAN,4,[Voicemail] KYC pending. Update now at https://bit.ly/CdVKO48 to avoid account freeze.,1,0,0,0,0,1,1
AUD0015,2025-11-07 01:00:33,+91-75055-10962,SENIOR_USER,Hinglish,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,[Automated Voice] Congratulations! Prize ₹1500 in KBC. Pay processing ₹49 to UPI ejgkha@ibl.,0,1,0,0,0,0,0
AUD0029,2025-04-14 06:56:04,+91-61444-21531,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,[Voicemail] HR update: job offer confirmed. Pay registration fee ₹79 at,0,0,0,0,0,0,0
AUD0006,2025-05-22 17:59:33,+91-71075-42444,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Click link,PAN,4,[Voicemail] KYC pending. Update now at https://bit.ly/1tnbZcM ma'am to ma'am avoid account freeze.,1,0,0,0,0,1,1
AUD0031,2025-05-24 20:27:23,+91-79560-78575,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,[Voicemail] HR update: job offer confirmed. Pay registration fee ₹199 at https://tinyurl.com/YmY0Iiq.,1,0,0,0,0,0,0
AUD0052,2025-08-13 19:07:18,+91-89286-09758,SENIOR_USER,Hinglish,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,[Automated Voice] Your Vi ma'am SIM okay ji will be deactivated today. Update KYC at https://verify-now.co/rrbsu9lyjo.,1,0,0,0,0,0,1
AUD0008,2025-08-05 17:21:04,+91-68837-42165,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Share OTP,OTP,5,[Automated Voice] Axis alert: suspicious transaction of ₹199. Share OTP to block immediately.,0,0,1,0,0,0,1
AUD0083,2025-09-10 00:49:12,+91-95899-27452,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,[Voicemail] Airtel plan expires on 15-Dec. Renew in official app or https://hdfcbank.com/gsqfnd1c9m.,1,0,0,0,0,0,0
AUD0039,2025-11-16 04:03:28,+91-61453-99774,SENIOR_USER,Hinglish,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,[Automated Voice] Pre-approved loan ₹9900. Activate by paying fee ₹199 at https://tinyurl.com/tLoGefn.,1,0,0,0,0,0,0
AUD0097,2025-07-29 06:28:42,+91-92985-72135,SENIOR_USER,Hinglish,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,[Voicemail] Vi plan expires on 31-Mar. Renew in um official um app or https://sbi.co.in/...,1,0,0,0,0,0,0
AUD0030,2025-09-11 19:34:17,+91-96344-75830,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,um [Voicemail] HR update: job offer confirmed. ma'am Pay registration fee ₹99 at https://cutt.ly/DIIPBYe.,1,0,0,0,0,0,0
AUD0085,2025-05-06 20:47:31,+91-63663-62457,SENIOR_USER,English,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,[Voicemail] FedEx delivery scheduled today. Track: https://sbi.co.in/ib29jlu14e,1,0,0,0,0,0,1
AUD0021,2025-09-04 10:36:08,+91-86674-85134,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Lure,Call number,,3,[Voicemail] Security issue uh detected. Call +91-93808-23954 for assistance. ma'am,0,0,0,0,1,0,0
AUD0024,2025-03-22 13:32:52,+91-99215-96927,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,[Automated Voice] Apple sir support. Malware detected. Install QuickSupport from https://verify-now.co/r4zk3fu3q9 now. [inaudible],1,0,0,0,0,0,1
AUD0026,2025-06-02 10:17:09,+91-93447-51842,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,[Voicemail] HR sir update: job offer confirmed. Pay okay registration fee ₹149 at [inaudible],0,0,0,0,0,0,0
AUD0059,2025-10-28 08:29:23,+91-77187-33466,SENIOR_USER,Hinglish,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,Aadhaar,5,[Automated Voice] This is Income Tax Department. Your identity is linked to a criminal case. Press 1 to verify now.,0,0,0,0,0,0,1
AUD0069,2025-12-02 10:50:03,+91-73614-15381,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"[Voice Note] Mom, it's me. Emergency hai. ₹2500 UPI puoqoy@ybl abhi. Please don't call.",0,1,0,0,0,0,0
AUD0045,2025-09-22 14:49:48,+91-80789-70110,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,[Automated Voice] India Post: Parcel held at customs. Pay clearance fee ₹149 at https://rebrand.ly/16t3vpQ.,1,0,0,0,0,0,0
AUD0062,2025-04-11 00:39:39,+91-88485-19037,SENIOR_USER,English,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,Aadhaar,5,[Automated Voice] This is Cyber Crime Cell. Your identity is linked to a criminal case. Press 1 to verify now.,0,0,0,0,0,0,1
AUD0064,2025-03-19 03:04:17,+91-83255-48676,SENIOR_USER,Hinglish,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,Aadhaar,5,[Automated Voice] This is Police Control Room. Your sir identity is linked to a haan criminal case. Press 1 to verify sir now.,0,0,0,0,0,0,1
AUD0019,2025-08-03 06:30:00,+91-75475-49939,SENIOR_USER,Hinglish,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,[Automated Voice] Apple support. Malware detected. Install AnyDesk from https://track-parcel.in/bsen1qrst8 now.,1,0,0,0,0,0,1
AUD0043,2025-02-27 18:16:15,+91-71185-92354,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,[Automated Voice] Amazon Logistics: Parcel held at customs. Pay clearance fee ₹79 at Jaldi.,0,0,0,0,0,0,0
AUD0041,2025-10-16 10:16:14,+91-69043-66635,SENIOR_USER,English,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,[Automated Voice] Delhivery: haan Parcel held at customs. Pay clearance fee ₹149 at [inaudible],0,0,0,0,0,0,0
AUD0040,2025-06-20 11:20:31,+91-82538-94144,SENIOR_USER,English,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,[Automated Voice] Pre-approved loan ₹12000. Activate by paying fee haan ₹2...,0,0,0,0,0,0,0
AUD0012,2025-05-21 00:07:54,+91-85666-77072,SENIOR_USER,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,[Automated Voice] Congratulations! Prize ₹499 in Mega haan Bumper Draw. Pay uh processing ₹299 to UPI ayrosv@okicici.,0,1,0,0,0,0,0
AUD0093,2025-08-09 09:21:47,+91-74460-96000,SENIOR_USER,English,0,Legitimate: Bank Alert,No action (info only),Visit official app/website,,1,"[Automated Voice] Canara alert. Debit of ₹199 occurred. If not you, call official helpline.",0,0,0,0,0,0,0
AUD0034,2025-03-22 06:07:42,+91-99274-93455,SENIOR_USER,English,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,[Automated Voice] Pre-approved loan ₹999. Activate by paying sir fee ₹999 um at https://cutt.ly/qbPhxQb. [inaudible],1,0,0,0,0,0,0
AUD0087,2025-04-13 16:33:10,+91-74095-53805,SENIOR_USER,English,0,Legitimate: Bank Alert,No action (info only),Visit official app/website,,1,"[Automated Voice] Axis alert. Debit of ₹2500 occurred. If um not ma'am you, call official...",0,0,0,0,0,0,0
AUD0056,2025-09-07 01:08:44,+91-65510-75768,SENIOR_USER,English,1,Telecom/Utility / KYC Scam,Escalation/Threat,Click link,,4,[Voicemail] MSEB bill overdue. Pay ₹499 at https://bit.ly/uce5o6C to avoid disconnection.,1,0,0,0,0,0,0
AUD0033,2025-11-19 07:01:02,+91-60500-87209,SENIOR_USER,English,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,[Automated Voice] Pre-approved loan ₹50000. Activate by paying fee ₹199 at,0,0,0,0,0,0,0
AUD0057,2025-06-10 21:25:34,+91-85147-79114,SENIOR_USER,English,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,Aadhaar,5,sir [Automated Voice] This is CBI. Your identity is okay linked to a criminal case. Press 1 to verify now. [inaudible],0,0,0,0,0,0,1
AUD0028,2025-11-05 05:23:27,+91-93481-30024,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,haan [Voicemail] HR update: job offer confirmed. sir Pay registration fee ₹49 at https://tinyurl.com/zdmKIXD.,1,0,0,0,0,0,0
AUD0023,2025-07-03 11:31:58,+91-89374-67045,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,[Automated Voice] Paytm support. Malware detected. Install TeamViewer from https://pay-safe.link/9ieshi7bsq now.,1,0,0,0,0,0,1
AUD0049,2025-10-16 00:59:43,+91-73154-05242,SENIOR_USER,English,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,[Automated Voice] Your BSNL SIM will be deactivated today. Update KYC at https://secure-kyc-update.in/532g1vr0zl.,1,0,0,0,0,0,1
AUD0002,2025-03-21 00:58:50,+91-67544-71677,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Click link,PAN,4,[Voicemail] KYC pending. Update now at https://t.co/XgW3mlT to avoid account freeze.,1,0,0,0,0,1,1
AUD0096,2025-03-26 18:29:27,+91-88747-42374,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,[Voicemail] Vi plan expires on 09-Feb. Renew in official app or https://passportindia.gov.in/z396lktf46.,1,0,0,0,0,0,0
AUD0003,2025-07-10 12:56:50,+91-89399-12673,SENIOR_USER,Hinglish,1,Bank/KYC Fraud,Action request,Share OTP,OTP,5,[Automated Voice] SBI alert: suspicious transaction of ₹349. Share OTP to block immediately.,0,0,1,0,0,0,1
AUD0010,2025-06-29 00:39:07,+91-72592-02043,SENIOR_USER,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,[Automated Voice] Congratulations! Prize ₹7500 in WhatsApp Promo. Pay processing ₹99 to UPI nnvwzj@okhdfc.,0,1,0,0,0,0,0
AUD0091,2025-08-09 19:19:22,+91-85372-20590,SENIOR_USER,English,0,Legitimate: Bank Alert,No action (info only),Visit official app/website,,1,"[Automated Voice] Axis alert. Debit of ₹200000 occurred. If not you, call official helpline.",0,0,0,0,0,0,0
AUD0066,2025-10-10 22:48:07,+91-64855-86535,SENIOR_USER,Hinglish,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"[Voice Note] Mom, it's me. Emergency hai. ₹999 UPI ovvphf@ibl abhi. Please don't call.",0,1,0,0,0,0,0
AUD0032,2025-12-15 15:32:48,+91-61675-17636,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,[Voicemail] HR update: job offer confirmed. Pay registration fee ₹499 at https://bit.ly/Yl5aKOi.,1,0,0,0,0,0,0
AUD0038,2025-09-21 20:41:03,+91-67910-42984,SENIOR_USER,English,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,[Automated Voice] Pre-approved loan ₹7500. Activate by paying fee ₹79 at,0,0,0,0,0,0,0
AUD0058,2025-10-17 13:03:02,+91-83297-06728,SENIOR_USER,English,1,Government/Authority Impersonation (incl. Digital Arrest),Payment/Transfer,Pay via UPI,,5,uh [Automated Voice] You are under ji digital arrest. Stay on line and transfer ₹999 to UPI haan ellvnu@okhdfc. [inaudible],0,1,0,0,0,1,0
AUD0042,2025-04-01 05:21:59,+91-85636-32505,SENIOR_USER,English,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,ji [Automated ma'am Voice] DTDC: Parcel held sir at customs. Pay clearance fee ₹49 at [inaudible],0,0,0,0,0,0,0
AUD0035,2025-03-20 22:43:04,+91-66754-43774,SENIOR_USER,Hinglish,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,[Automated Voice] Pre-approved loan ₹2500. Activate by paying fee ₹299 at https://cutt.ly/WztB6ct.,1,0,0,0,0,0,0
AUD0073,2025-10-11 05:39:31,+91-92751-30986,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,[Voicemail] Buyer payment pending. Share OTP to receive ₹2500.,0,0,1,0,0,0,0
AUD0076,2025-03-31 17:38:52,+91-94804-76190,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,[Automated Voice] Refund of ₹50000 pending. Confirm your bank details at,0,0,0,0,0,0,0
AUD0089,2025-11-10 19:02:51,+91-94251-48884,SENIOR_USER,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,[Voice Note] Hi! Just wanted to check if you reached home. Call when free.,0,0,0,0,0,0,0
AUD0074,2025-05-13 07:30:14,+91-76399-77739,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,[Automated Voice] Refund uh of ₹50000 um pending. Confirm your bank um details at https://bank-kycverify.com/zbvv9xhu...,1,0,0,0,0,0,0
AUD0063,2025-03-16 15:59:53,+91-91613-43302,SENIOR_USER,Hinglish,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,Aadhaar,5,[Automated Voice] This is CBI. Your identity is linked ji to a criminal case. sir ma'am Press 1 to verify now.,0,0,0,0,0,0,1
AUD0068,2025-05-18 09:31:01,+91-66844-25727,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"[Voice Note] Mom, it's me. Emergency hai. ₹349 UPI sslsty@oksbi abhi. Please don't call.",0,1,0,0,0,0,0
AUD0005,2025-09-12 23:28:46,+91-84671-98399,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Click link,PAN,4,[Voicemail] KYC pending. Update now at https://t.co/plNQG6p to avoid account okay freeze.,1,0,0,0,0,1,1
AUD0013,2025-10-27 04:51:22,+91-68055-18839,SENIOR_USER,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,[Automated Voice] Congratulations! Prize ₹25000 in Festival Lucky Draw. Pay processing ₹199 to UPI ylnhit@ybl.,0,1,0,0,0,0,0
AUD0092,2025-12-02 09:33:08,+91-94578-31564,SENIOR_USER,English,0,Legitimate: Bank Alert,No action (info only),Visit official app/website,,1,"[Automated Voice] Canara alert. Debit of ₹12000 occurred. If not you, call official helpline.",0,0,0,0,0,0,0
AUD0050,2025-04-11 23:42:59,+91-76059-81253,SENIOR_USER,English,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,[Automated Voice] Your Vi SIM will be deactivated today. Update KYC at https://secure-kyc-update.in/tihkerz3a8.,1,0,0,0,0,0,1
AUD0016,2025-04-23 09:52:26,+91-66822-45824,SENIOR_USER,Hinglish,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,[Automated Voice] Congratulations! Prize ₹1500 in Mega Bumper Draw. Pay processing ₹99 to UPI nfjatv@ibl.,0,1,0,0,0,0,0
AUD0067,2025-06-05 11:43:06,+91-71855-19228,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"[Voice Note] Mom, it's me. Emergency hai. ₹349 UPI ngljuz@okicici abhi. Please don't call.",0,1,0,0,0,0,0
AUD0072,2025-05-04 14:00:16,+91-94633-44562,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"[Voice Note] Mom, okay ma'am it's me. Emergency sir hai. ₹12000 UPI giabzs@okicici abhi. Please don't call.",0,1,0,0,0,0,0
AUD0080,2025-06-25 03:14:39,+91-80680-47172,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,[Automated Voice] Refund of ₹12000 pending. Confirm your bank details at https://pay-safe.link/vk4st3qgpc.,1,0,0,0,0,0,0
AUD0070,2025-10-29 05:18:40,+91-73087-35124,SENIOR_USER,Hinglish,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"[Voice Note] Mom, it's me. Emergency hai. ₹499 UPI cpfjtf@ibl abhi. Please don't call.",0,1,0,0,0,0,0
AUD0088,2025-03-25 18:05:22,+91-92987-97190,SENIOR_USER,English,0,Legitimate: OTP/2FA,Action request,Visit official app/website,OTP,1,[Automated Voice] Your OTP for Paytm is 428355. Repeat 428355. Do not share it.,0,0,1,0,0,0,0
AUD0099,2025-11-23 09:57:53,+91-97825-91071,SENIOR_USER,English,0,Legitimate: Bank Alert,No action (info only),Visit official app/website,,1,"[Automated uh ji Voice] PNB alert. Debit of ₹25000 occurred. If not you, call official helpline. haan",0,0,0,0,0,0,0
