sms_id,timestamp,sender_id,receiver_id,language,is_scam,scam_type,scam_stage,requested_action,sensitive_info_requested,severity,message_text,has_url,has_upi,has_otp,has_qr,has_phone,has_threat,has_urgency
SMS0055,2025-04-19 09:44:37,+91-99499-91414,SENIOR_USER,English,1,Telecom/Utility / KYC Scam,Lure,Call number,,3,TRAI verification pending. Confirm details by calling +91-98728-31517.,0,0,0,0,1,0,0
SMS0045,2025-04-17 01:13:05,AX-JIOINF,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,Address incomplete. Reschedule delivery: https://rebrand.ly/GdfOiZ6 Jaldi karo.,1,0,0,0,0,0,0
SMS0024,2025-10-09 05:09:51,DM-KOTAKB,SENIOR_USER,Hinglish,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,PhonePe Security: Malware detected. Install Remote Assist from https://cybercrime-case.in/rlgzusgnux for cleanup.,1,0,0,0,0,0,0
SMS0039,2025-05-31 17:52:45,+91-94773-44940,SENIOR_USER,English,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,Pre-approved loan ₹9900. Activate by paying processing ₹199 at https://tinyurl.com/eL2ZL5L,1,0,0,0,0,0,0
SMS0100,2025-11-06 23:24:25,AD-ICICIB,SENIOR_USER,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Hi, I’ll reach by 7:00 PM. See you soon.",0,0,0,0,0,0,0
SMS0017,2025-09-14 06:59:18,TM-KOTAKB,SENIOR_USER,Hinglish,1,Tech Support / Remote Access Scam,Lure,Click link,,3,Device warranty expiring today. Verify at Jaldi karo.,0,0,0,0,0,0,1
SMS0088,2025-06-21 15:21:52,+91-63040-35051,SENIOR_USER,Hinglish,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,URGENT: Jio password change hua. Agar aapne nahi kiya to reset: https://amazon.in/32tr8hd851,1,0,0,0,0,0,1
SMS0022,2025-04-16 22:44:18,VM-GPAYIN,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,Apple Security: Malware detected. Install QuickSupport from https://verify-now.co/nwfcot79ky for cleanup.,1,0,0,0,0,0,1
SMS0053,2025-05-17 22:46:23,+91-73914-88127,SENIOR_USER,Hinglish,1,Telecom/Utility / KYC Scam,Escalation/Threat,Click link,,4,BESCOM: Bill overdue ₹7500. Power cut in 2 hours. Pay at https://bit.ly/effIp1B Jaldi karo.,1,0,0,0,0,1,1
SMS0074,2025-10-06 02:28:01,DM-HDFCBK,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,"OLX: Buyer sent payment. To receive ₹50000, share OTP.",0,0,1,0,0,0,0
SMS0041,2025-12-12 16:19:02,+91-78452-85279,SENIOR_USER,English,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,Address incomplete. Reschedule delivery: https://t.co/8Kjuhfj,1,0,0,0,0,0,0
SMS0002,2025-11-10 03:19:51,BP-JIOINF,SENIOR_USER,Hinglish,1,Bank/KYC Fraud,Action request,Share ID docs,Aadhaar,4,KYC update required. Share PAN/Aadhaar photo on WhatsApp number +91-87823-43618. Jaldi karo.,0,0,0,0,1,0,0
SMS0010,2025-08-16 13:31:02,+91-99635-72107,SENIOR_USER,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,Prize release requires processing fee ₹99. Pay via UPI lkjxcu@ibl.,0,1,0,0,0,0,0
SMS0025,2025-07-28 12:17:28,JD-IRCTC,SENIOR_USER,English,1,Job Offer Scam,Action request,Share ID docs,Aadhaar,3,HR: Selected. Share Aadhaar/PAN for verification. WhatsApp +91-85788-12996,0,0,0,0,1,0,0
SMS0001,2025-09-01 20:38:38,AD-SBIINB,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Click link,OTP,4,"Dear customer, your card will be blocked today. Verify details at https://rebrand.ly/CqmeGMJ",1,0,0,0,0,0,1
SMS0030,2025-11-19 02:07:30,VM-ICICIB,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,Earn ₹200000/day. Join VIP group using https://bit.ly/kOSwD7D,1,0,0,0,0,0,0
SMS0073,2025-09-27 20:43:25,AD-GPAYIN,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,Refund pending. Confirm bank details at https://gpay-help.in/9g1m143k0d,1,0,0,0,0,0,0
SMS0004,2025-05-03 15:36:39,AX-AIRTEL,SENIOR_USER,Hinglish,1,Bank/KYC Fraud,Action request,Click link,OTP,4,"Dear customer, your card will be blocked today. Verify details at https://cutt.ly/I7f8PVU",1,0,0,0,0,0,1
SMS0083,2025-09-28 19:37:19,+91-80209-70514,SENIOR_USER,Hinglish,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,BESCOM: Bill ₹100000 due 20-Dec. Official app ya https://airtel.in/eaqfvhb18n se pay karo.,1,0,0,0,0,0,0
SMS0033,2025-02-18 18:32:19,VM-AIRTEL,SENIOR_USER,Hinglish,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,Pre-approved loan ₹199. Activate by paying processing ₹499 at https://tinyurl.com/akCIjEl,1,0,0,0,0,0,0
SMS0095,2025-05-01 12:49:32,DM-AMAZON,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,BESCOM: Bill of ₹5000 due on 15-Jun. Pay via official app or https://icicibank.com/shzssaj386,1,0,0,0,0,0,0
SMS0015,2025-12-25 07:23:17,+91-60399-91360,SENIOR_USER,English,1,Lottery/Prize Scam,Lure,Call number,,3,Congrats! You won ₹999 in Mega Bumper Draw. Claim: Call +91-95302-36343 Ref Y0JL23.,0,0,0,0,1,0,0
SMS0092,2025-02-07 08:25:14,AX-IRCTC,SENIOR_USER,English,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,Delhivery: Delivery attempt failed. Reschedule at https://cutt.ly/X1nVtFv,1,0,0,0,0,0,0
SMS0021,2025-08-31 09:44:44,VK-IRCTC,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Lure,Call number,,3,Your email hacked. Call technician +91-62430-09408 now.,0,0,0,0,1,0,1
SMS0026,2025-11-25 14:22:55,VK-PAYTM,SENIOR_USER,Hinglish,1,Job Offer Scam,Payment/Transfer,Click link,,3,Work-from-home job ₹349/month. Pay training fee ₹999. Details:,0,0,0,0,0,0,0
SMS0027,2025-10-18 16:48:19,DM-KOTAKB,SENIOR_USER,English,1,Job Offer Scam,Action request,Share ID docs,Aadhaar,3,HR: Selected. Share Aadhaar/PAN for verification. WhatsApp +91-64705-05638,0,0,0,0,1,0,0
SMS0062,2025-02-07 01:45:55,VK-GPAYIN,SENIOR_USER,Hinglish,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,,5,Court notice: Settlement required today. Call karo +91-86854-63467 abhi.,0,0,0,0,1,0,1
SMS0070,2025-08-14 16:43:15,+91-84352-20166,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,4,It's me. Network issue. Please transfer now. nmejlq@ibl,0,1,0,0,0,0,1
SMS0046,2025-05-12 21:28:21,+91-74681-63400,SENIOR_USER,English,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,Delhivery: Parcel held at customs. Pay clearance ₹499 at https://secure-kyc-update.in/r7bio32jqw within 30 minutes.,1,0,0,0,0,0,1
SMS0060,2025-03-04 16:08:02,TM-ICICIB,SENIOR_USER,English,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Click link,Aadhaar,5,This is TRAI. FIR filing in process. Verify identity at https://pay-safe.link/a9yncyn7pc within 2 hours.,1,0,0,0,0,1,1
SMS0059,2025-06-03 09:18:23,+91-98520-58327,SENIOR_USER,Hinglish,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,,5,Court notice: Settlement required today. Call karo +91-79829-88364 abhi. Jaldi karo.,0,0,0,0,1,0,1
SMS0019,2025-02-26 00:53:13,VM-AXISBK,SENIOR_USER,Hinglish,1,Tech Support / Remote Access Scam,Lure,Click link,,3,Device warranty expiring today. Verify at https://t.co/Gp7mOAb,1,0,0,0,0,0,1
SMS0003,2025-05-28 03:04:26,+91-74889-54495,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Click link,KYC documents/photo,4,ALERT: Axis KYC pending. Update now to avoid account freeze: https://verify-now.co/2cakxgydfx,1,0,0,0,0,1,1
SMS0047,2025-02-16 14:50:57,DM-INDPST,SENIOR_USER,English,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,Address incomplete. Reschedule delivery:,0,0,0,0,0,0,0
SMS0052,2025-06-07 05:05:01,BP-AXISBK,SENIOR_USER,English,1,Telecom/Utility / KYC Scam,Lure,Call number,,3,TRAI verification pending. Confirm details by calling +91-62537-75981.,0,0,0,0,1,0,0
SMS0023,2025-03-07 00:14:24,+91-96272-86867,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Lure,Click link,,3,Device warranty expiring today. Verify at https://rebrand.ly/WPjWyDN,1,0,0,0,0,0,1
SMS0061,2025-07-10 03:25:32,BP-IRCTC,SENIOR_USER,English,1,Government/Authority Impersonation (incl. Digital Arrest),Payment/Transfer,Pay via UPI,,5,You are under 'digital arrest'. Stay on line and transfer ₹1500 to verify innocence.,0,0,0,0,0,1,0
SMS0099,2025-09-17 22:51:19,+91-92158-17441,SENIOR_USER,English,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,Blue Dart: Delivery attempt failed. Reschedule at https://rebrand.ly/1ZvdUq3,1,0,0,0,0,0,0
SMS0036,2025-10-22 09:11:08,DM-AXISBK,SENIOR_USER,English,1,Loan/Investment Scam,Action request,Share OTP,OTP,4,Instant loan. Confirm OTP to proceed.,0,0,1,0,0,0,0
SMS0090,2025-04-16 16:34:54,+91-83149-70682,SENIOR_USER,English,0,Legitimate: Appointment Reminder,No action (info only),Visit official app/website,,1,Reminder: Appointment with Dr. Mehta on 03-Nov at 7:00 PM.,0,0,0,0,0,0,0
SMS0056,2025-08-06 23:57:51,+91-88540-21140,SENIOR_USER,English,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,Vi: SIM will be deactivated today due to KYC pending. Update: https://verify-now.co/c2dnrnhr7x,1,0,0,0,0,0,1
SMS0040,2025-10-25 04:17:59,+91-98849-86773,SENIOR_USER,English,1,Loan/Investment Scam,Lure,Click link,,3,Double money in 30 days. Join investment group: https://customs-clearance.in/duwz0eia0x,1,0,0,0,0,0,0
SMS0071,2025-04-26 10:39:00,VK-AXISBK,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"Hi Mom, new number. Emergency. Send ₹1500 to UPI hsmoyl@okicici. Don't call.",0,1,0,0,0,0,0
SMS0032,2025-05-30 01:11:47,AD-AIRTEL,SENIOR_USER,English,1,Job Offer Scam,Payment/Transfer,Click link,,3,Work-from-home job ₹499/month. Pay training fee ₹199. Details:,0,0,0,0,0,0,0
SMS0016,2025-02-11 06:07:45,+91-65360-03273,SENIOR_USER,English,1,Lottery/Prize Scam,Action request,Click link,PAN,3,Winner selected. Verify details at https://t.co/6RGkhif to claim.,1,0,0,0,0,0,0
SMS0049,2025-10-30 10:47:21,BP-INDPST,SENIOR_USER,English,1,Telecom/Utility / KYC Scam,Action request,Share OTP,OTP,4,Your SIM re-verification failed. Share OTP to re-activate.,0,0,1,0,0,0,0
SMS0006,2025-08-13 21:35:42,JD-AXISBK,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Click link,KYC documents/photo,4,ALERT: Axis KYC pending. Update now to avoid account freeze: https://bank-kycverify.com/jgawlakird,1,0,0,0,0,1,1
SMS0086,2025-02-01 12:38:39,VK-SBIINB,SENIOR_USER,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Hi, I’ll reach by 10:00 AM. See you soon.",0,0,0,0,0,0,0
SMS0005,2025-05-29 01:38:49,AD-PAYTM,SENIOR_USER,Hinglish,1,Bank/KYC Fraud,Lure,Call number,,3,Kotak: Suspicious UPI collect request detected. Call karo +91-73712-16251 to confirm.,0,0,0,0,1,0,0
SMS0009,2025-12-16 17:15:56,AX-AXISBK,SENIOR_USER,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,Prize release requires processing fee ₹49. Pay via UPI acfqnq@ybl.,0,1,0,0,0,0,0
SMS0091,2025-02-18 17:38:17,TM-AMAZON,SENIOR_USER,Hinglish,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,DTDC: Delivery attempt fail. Reschedule: https://tinyurl.com/Sch1vZ7,1,0,0,0,0,0,0
SMS0042,2025-05-26 21:02:46,+91-99509-28268,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,Address incomplete. Reschedule delivery: https://t.co/pvs9lRV,1,0,0,0,0,0,0
SMS0028,2025-12-15 02:44:45,JD-IRCTC,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,Earn ₹100000/day. Join VIP group using https://bit.ly/kgBZy9V,1,0,0,0,0,0,0
SMS0034,2025-06-05 11:51:53,+91-90360-36126,SENIOR_USER,English,1,Loan/Investment Scam,Lure,Click link,,3,Double money in 30 days. Join investment group: https://track-parcel.in/v56hqa5bxc,1,0,0,0,0,0,0
SMS0058,2025-05-07 03:21:37,+91-95792-55288,SENIOR_USER,English,1,Government/Authority Impersonation (incl. Digital Arrest),Payment/Transfer,Pay via UPI,,5,You are under 'digital arrest'. Stay on line and transfer ₹349 to verify innocence.,0,0,0,0,0,1,0
SMS0043,2025-06-14 17:28:02,+91-71002-94550,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,FedEx: Parcel held at customs. Pay clearance ₹299 at https://track-parcel.in/60xdclthxq within 30 minutes.,1,0,0,0,0,0,1
SMS0037,2025-11-26 15:43:12,JD-IRCTC,SENIOR_USER,Hinglish,1,Loan/Investment Scam,Action request,Share OTP,OTP,4,Instant loan. Confirm OTP to proceed.,0,0,1,0,0,0,0
SMS0078,2025-09-25 22:31:57,VK-INDPST,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,Refund pending. Confirm bank details at https://verify-now.co/wgx4282h7a,1,0,0,0,0,0,1
SMS0079,2025-12-10 14:30:19,AD-AMAZON,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,"Quikr: Buyer sent payment. To receive ₹499, share OTP.",0,0,1,0,0,0,0
SMS0096,2025-03-20 09:11:12,AX-AIRTEL,SENIOR_USER,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Hi, I’ll reach by 7:00 PM. See you soon.",0,0,0,0,0,0,0
SMS0076,2025-07-28 13:12:50,+91-94506-63699,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Payment/Transfer,Scan QR / approve collect request,UPI PIN,4,"To accept payment, scan QR from https://t.co/Vx5jPrv and approve collect request.",1,0,0,1,0,0,0
SMS0063,2025-03-18 17:18:17,+91-81124-53077,SENIOR_USER,English,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,,5,Court notice: Settlement required today. Call +91-95488-37668 immediately.,0,0,0,0,1,0,1
SMS0066,2025-03-25 18:04:03,+91-85401-99143,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"Hi Mom, new number. Emergency. Send ₹9900 to UPI fzfvji@okhdfc. Don't call.",0,1,0,0,0,0,0
SMS0084,2025-09-28 23:09:33,AX-KOTAKB,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,"URGENT: Your Amazon password was changed. If not you, reset at https://airtel.in/i021vwsy89",1,0,0,0,0,0,1
SMS0012,2025-11-17 15:08:57,BP-BESCOM,SENIOR_USER,Hinglish,1,Lottery/Prize Scam,Lure,Call number,,3,Congrats! You won ₹100000 in Festival Lucky Draw. Claim: Call karo +91-99193-53748 Ref 0YBMHY. Jaldi karo.,0,0,0,0,1,0,0
SMS0093,2025-05-06 02:30:55,+91-62348-10277,SENIOR_USER,English,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,Delhivery: Out for delivery today. Track: https://airtel.in/4192ie6d28,1,0,0,0,0,0,1
SMS0050,2025-06-06 18:22:14,+91-60282-99514,SENIOR_USER,Hinglish,1,Telecom/Utility / KYC Scam,Action request,Share OTP,OTP,4,Your SIM re-verification failed. Share OTP to re-activate.,0,0,1,0,0,0,0
SMS0013,2025-11-14 18:17:35,JD-AIRTEL,SENIOR_USER,English,1,Lottery/Prize Scam,Lure,Call number,,3,Congrats! You won ₹2500 in KBC. Claim: Call +91-79106-31737 Ref U9ZW74.,0,0,0,0,1,0,0
SMS0072,2025-03-10 21:06:31,+91-83847-17821,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"Hi Mom, new number. Emergency. Send ₹200000 to UPI dqpmhy@oksbi. Don't call.",0,1,0,0,0,0,0
SMS0067,2025-08-12 03:41:02,VM-IRCTC,SENIOR_USER,Hinglish,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,4,It's me. Network issue. Please transfer now. ytvwsl@okicici,0,1,0,0,0,0,1
SMS0080,2025-11-12 22:19:07,AX-GPAYIN,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,"OLX: Buyer sent payment. To receive ₹50000, share OTP.",0,0,1,0,0,0,0
SMS0069,2025-10-23 18:54:56,TM-AMAZON,SENIOR_USER,English,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"Hi Mom, new number. Emergency. Send ₹9900 to UPI aabppj@oksbi. Don't call.",0,1,0,0,0,0,0
SMS0094,2025-10-16 16:21:35,TM-HDFCBK,SENIOR_USER,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Hi, I’ll reach by 2:30 PM. See you soon.",0,0,0,0,0,0,0
SMS0082,2025-09-07 00:18:20,TM-ICICIB,SENIOR_USER,English,0,Legitimate: Bank Alert,No action (info only),No action (info only),,1,HDFC: Rs.50000 debited from A/C XX8082 on 10-Nov. Avl bal: Rs.45000.,0,0,0,0,0,0,0
